created_at,Instrument,GV1_DATE,expected_tp,Pcase,GEN_VAL3,4.5,4.75,5.0,5.25,5.5,4.25,datehour,date
2024-05-27 22:00:05.352895,USIRP25F1=R,2024-06-12,5.375,,5.375,,,,,100.0,,2024-05-27_22,2024-05-27
2024-05-27 22:00:05.352895,USIRP25F2=R,2024-07-31,5.35,10.0,5.375,,,,10.0,90.0,,2024-05-27_22,2024-05-27
2024-05-27 22:00:05.352895,USIRP25F3=R,2024-09-18,5.24,44.0,5.375,,,4.4,45.2,50.4,,2024-05-27_22,2024-05-27
2024-05-27 22:00:05.352895,USIRP25F4=R,2024-11-07,5.1813,23.480000000000004,5.375,,1.0,14.0,46.4,38.6,,2024-05-27_22,2024-05-27
2024-05-27 22:00:05.352895,USIRP25F5=R,2024-12-18,5.0352,58.43999999999998,5.375,0.6,8.6,32.9,41.8,16.0,,2024-05-27_22,2024-05-27
2024-05-28 23:00:06.413675,USIRP25F1=R,2024-06-12,5.375,,5.375,,,,,100.0,,2024-05-28_23,2024-05-28
2024-05-28 23:00:06.413675,USIRP25F2=R,2024-07-31,5.35,10.0,5.375,,,,10.0,90.0,,2024-05-28_23,2024-05-28
2024-05-28 23:00:06.413675,USIRP25F3=R,2024-09-18,5.24,44.0,5.375,,,4.4,45.2,50.4,,2024-05-28_23,2024-05-28
2024-05-28 23:00:06.413675,USIRP25F4=R,2024-11-07,5.1813,23.480000000000004,5.375,,1.0,14.0,46.4,38.6,,2024-05-28_23,2024-05-28
2024-05-28 23:00:06.413675,USIRP25F5=R,2024-12-18,5.0352,58.43999999999998,5.375,0.6,8.6,32.9,41.8,16.0,,2024-05-28_23,2024-05-28
2024-05-29 23:00:05.589003,USIRP25F1=R,2024-06-12,5.375,,5.375,,,,,100.0,,2024-05-29_23,2024-05-29
2024-05-29 23:00:05.589003,USIRP25F2=R,2024-07-31,5.35,10.0,5.375,,,,10.0,90.0,,2024-05-29_23,2024-05-29
2024-05-29 23:00:05.589003,USIRP25F3=R,2024-09-18,5.245,42.0,5.375,,,4.2,43.6,52.2,,2024-05-29_23,2024-05-29
